service,kasan_key,kasan_display_name,current_overall_mapping_status,proposed_action,official_service_code,official_name,official_unit,official_calc_unit,official_source_id,official_page_or_section,receipt_detection_code,receipt_detection_name,receipt_detection_pattern,receipt_detection_status,internal_legacy_code,internal_legacy_name,internal_legacy_unit,mismatch_type,mismatch_summary,current_risk,proposed_review_question,recommended_next_step,reviewer_decision,reviewer_name,reviewed_at,review_note
houmon_kango_kaigo,kagakuteki_kaigo_suishin_kasan,科学的介護推進体制加算,needs_review,needs_master_review,,科学的介護推進体制加算,,月/利用者,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),136900,科学的介護推進体制加算,LIFE,legacy_detection_only,136900,科学的介護推進体制加算,40,not_found_in_definitive_source,match_type=not_found_in_definitive_source / official_code=(none) / internal_code=136900 / internal_unit=40,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「科学的介護推進体制加算」: 社内コード 136900 は稼働中だが、確定版PDFに対応する公式コードが見つかりません（match_type=not_found_in_definitive_source）。 公式コードが本当に未登録か、別表に移動した可能性、R8.6.1で新規公式コード追加見込みかを業務担当・開発担当で確認してください。,candidate: keep_legacy_detection_only OR defer_until_r8_definitive (reviewer判断),,,,
tsusho_kaigo,chujudosha_care_taisei,中重度者ケア体制加算,needs_review,needs_master_review,155306,中重度者ケア体制加算,45,日/算定対象者全員,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,156271,中重度者ケア体制加算,中重度加算,legacy_detection_only,156271,中重度者ケア体制加算,45,code_mismatch,match_type=code_mismatch / official_code=155306 / internal_code=156271 / official_unit=45 / internal_unit=45,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「中重度者ケア体制加算」: 公式コード 155306 に対し社内コード 156271 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
tsusho_kaigo,nyuyoku_II,入浴介助加算Ⅱ,needs_review,needs_master_review,155303,入浴介助加算（Ⅱ）,55,,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,155302,入浴介助加算Ⅱ,入浴Ⅱ,legacy_detection_only,155302,入浴介助加算Ⅱ,55,code_mismatch,match_type=code_mismatch / official_code=155303 / internal_code=155302 / official_unit=55 / internal_unit=55,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「入浴介助加算Ⅱ」: 公式コード 155303 に対し社内コード 155302 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
tsusho_kaigo,koukuu_kinou_I,口腔機能向上加算Ⅰ,needs_review,needs_master_review,155606,口腔機能向上加算（Ⅰ）,150,,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,155501,口腔機能向上加算Ⅰ,口腔Ⅰ,legacy_detection_only,155501,口腔機能向上加算Ⅰ,150,code_mismatch,match_type=code_mismatch / official_code=155606 / internal_code=155501 / official_unit=150 / internal_unit=150,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「口腔機能向上加算Ⅰ」: 公式コード 155606 に対し社内コード 155501 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
tsusho_kaigo,eiyou_kaizen,栄養改善加算,needs_review,needs_master_review,155605,栄養改善加算,200,,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,156112,栄養改善加算,栄養改善,legacy_detection_only,156112,栄養改善加算,200,code_mismatch,match_type=code_mismatch / official_code=155605 / internal_code=156112 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「栄養改善加算」: 公式コード 155605 に対し社内コード 156112 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,shokai_kasan,初回加算,needs_review,needs_master_review,114001,初回加算,200,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116200,初回加算,初回,legacy_detection_only,116200,初回加算,200,code_mismatch,match_type=code_mismatch / official_code=114001 / internal_code=116200 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「初回加算」: 公式コード 114001 に対し社内コード 116200 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,seikatsu_kinou_renkei_I,生活機能向上連携加算(I),needs_review,needs_master_review,114003,生活機能向上連携加算（Ⅰ）,100,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116301,生活機能向上連携加算(I),生活機能Ⅰ,legacy_detection_only,116301,生活機能向上連携加算(I),100,code_mismatch,match_type=code_mismatch / official_code=114003 / internal_code=116301 / official_unit=100 / internal_unit=100,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「生活機能向上連携加算(I)」: 公式コード 114003 に対し社内コード 116301 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,seikatsu_kinou_renkei_II,生活機能向上連携加算(II),needs_review,needs_master_review,114002,生活機能向上連携加算（Ⅱ）,200,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116302,生活機能向上連携加算(II),生活機能Ⅱ,legacy_detection_only,116302,生活機能向上連携加算(II),200,code_mismatch,match_type=code_mismatch / official_code=114002 / internal_code=116302 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「生活機能向上連携加算(II)」: 公式コード 114002 に対し社内コード 116302 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,ninchi_senmon_care_I,認知症専門ケア加算(I),needs_review,needs_master_review,114004,認知症専門ケア加算（Ⅰ）,3,日/算定対象者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116401,認知症専門ケア加算(I),認知症専門Ⅰ,legacy_detection_only,116401,認知症専門ケア加算(I),3,code_mismatch,match_type=code_mismatch / official_code=114004 / internal_code=116401 / official_unit=3 / internal_unit=3,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「認知症専門ケア加算(I)」: 公式コード 114004 に対し社内コード 116401 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,ninchi_senmon_care_II,認知症専門ケア加算(II),needs_review,needs_master_review,114005,認知症専門ケア加算（Ⅱ）,4,日/算定対象者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116402,認知症専門ケア加算(II),認知症専門Ⅱ,legacy_detection_only,116402,認知症専門ケア加算(II),4,code_mismatch,match_type=code_mismatch / official_code=114005 / internal_code=116402 / official_unit=4 / internal_unit=4,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「認知症専門ケア加算(II)」: 公式コード 114005 に対し社内コード 116402 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,kinkyu_houmon,緊急時訪問介護加算,needs_review,needs_master_review,114000,緊急時訪問介護加算,100,回/緊急訪問,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116500,緊急時訪問介護加算,緊急訪問,legacy_detection_only,116500,緊急時訪問介護加算,100,code_mismatch,match_type=code_mismatch / official_code=114000 / internal_code=116500 / official_unit=100 / internal_unit=100,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「緊急時訪問介護加算」: 公式コード 114000 に対し社内コード 116500 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
houmon_kaigo,koukuu_renkei_kyouka,口腔連携強化加算,needs_review,needs_master_review,116192,口腔連携強化加算,50,回/月1回まで,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,116600,口腔連携強化加算,口腔連携,legacy_detection_only,116600,口腔連携強化加算,50,code_mismatch,match_type=code_mismatch / official_code=116192 / internal_code=116600 / official_unit=50 / internal_unit=50,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「口腔連携強化加算」: 公式コード 116192 に対し社内コード 116600 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,tokutei_jigyousho_I,特定事業所加算(I),needs_review,needs_master_review,434002,特定事業所加算（Ⅰ）,519,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438100,特定事業所加算(I),特事Ⅰ,legacy_detection_only,438100,特定事業所加算(I),519,code_mismatch,match_type=code_mismatch / official_code=434002 / internal_code=438100 / official_unit=519 / internal_unit=519,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「特定事業所加算(I)」: 公式コード 434002 に対し社内コード 438100 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,tokutei_jigyousho_II,特定事業所加算(II),needs_review,needs_master_review,434003,特定事業所加算（Ⅱ）,421,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438101,特定事業所加算(II),特事Ⅱ,legacy_detection_only,438101,特定事業所加算(II),421,code_mismatch,match_type=code_mismatch / official_code=434003 / internal_code=438101 / official_unit=421 / internal_unit=421,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「特定事業所加算(II)」: 公式コード 434003 に対し社内コード 438101 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,tokutei_jigyousho_III,特定事業所加算(III),needs_review,needs_master_review,434004,特定事業所加算（Ⅲ）,323,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438102,特定事業所加算(III),特事Ⅲ,legacy_detection_only,438102,特定事業所加算(III),323,code_mismatch,match_type=code_mismatch / official_code=434004 / internal_code=438102 / official_unit=323 / internal_unit=323,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「特定事業所加算(III)」: 公式コード 434004 に対し社内コード 438102 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,tokutei_jigyousho_A,特定事業所加算(A),needs_review,needs_master_review,434006,特定事業所加算（Ａ）,114,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438104,特定事業所加算(A),特事A,legacy_detection_only,438104,特定事業所加算(A),114,code_mismatch,match_type=code_mismatch / official_code=434006 / internal_code=438104 / official_unit=114 / internal_unit=114,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「特定事業所加算(A)」: 公式コード 434006 に対し社内コード 438104 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,nyuin_jouhou_renkei_I,入院時情報連携加算(I),needs_review,needs_master_review,436125,入院時情報連携加算（Ⅰ）,250,月/回,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438200,入院時情報連携加算(I),入院連携Ⅰ,legacy_detection_only,438200,入院時情報連携加算(I),250,code_mismatch,match_type=code_mismatch / official_code=436125 / internal_code=438200 / official_unit=250 / internal_unit=250,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「入院時情報連携加算(I)」: 公式コード 436125 に対し社内コード 438200 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,nyuin_jouhou_renkei_II,入院時情報連携加算(II),needs_review,needs_master_review,436129,入院時情報連携加算（Ⅱ）,200,月/回,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438201,入院時情報連携加算(II),入院連携Ⅱ,legacy_detection_only,438201,入院時情報連携加算(II),200,code_mismatch,match_type=code_mismatch / official_code=436129 / internal_code=438201 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「入院時情報連携加算(II)」: 公式コード 436129 に対し社内コード 438201 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,taiin_taisho_kasan_I_i,退院・退所加算(I)イ,needs_review,needs_master_review,436132,退院・退所加算（Ⅰ）イ,450,回/退院退所1回につき,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438301,退院・退所加算(I)イ,退院Ⅰイ,legacy_detection_only,438301,退院・退所加算(I)イ,450,code_mismatch,match_type=code_mismatch / official_code=436132 / internal_code=438301 / official_unit=450 / internal_unit=450,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「退院・退所加算(I)イ」: 公式コード 436132 に対し社内コード 438301 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,taiin_taisho_kasan_I_ro,退院・退所加算(I)ロ,needs_review,needs_master_review,436143,退院・退所加算（Ⅰ）ロ,600,回/退院退所1回につき,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438302,退院・退所加算(I)ロ,退院Ⅰロ,legacy_detection_only,438302,退院・退所加算(I)ロ,600,code_mismatch,match_type=code_mismatch / official_code=436143 / internal_code=438302 / official_unit=600 / internal_unit=600,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「退院・退所加算(I)ロ」: 公式コード 436143 に対し社内コード 438302 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,taiin_taisho_kasan_II_i,退院・退所加算(II)イ,needs_review,needs_master_review,436144,退院・退所加算（Ⅱ）イ,600,回/退院退所1回につき,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438303,退院・退所加算(II)イ,退院Ⅱイ,legacy_detection_only,438303,退院・退所加算(II)イ,600,code_mismatch,match_type=code_mismatch / official_code=436144 / internal_code=438303 / official_unit=600 / internal_unit=600,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「退院・退所加算(II)イ」: 公式コード 436144 に対し社内コード 438303 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,taiin_taisho_kasan_II_ro,退院・退所加算(II)ロ,needs_review,needs_master_review,436145,退院・退所加算（Ⅱ）ロ,750,回/退院退所1回につき,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438304,退院・退所加算(II)ロ,退院Ⅱロ,legacy_detection_only,438304,退院・退所加算(II)ロ,750,code_mismatch,match_type=code_mismatch / official_code=436145 / internal_code=438304 / official_unit=750 / internal_unit=750,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「退院・退所加算(II)ロ」: 公式コード 436145 に対し社内コード 438304 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,taiin_taisho_kasan_III,退院・退所加算(III),needs_review,needs_master_review,436146,退院・退所加算（Ⅲ）,900,回/退院退所1回につき,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438305,退院・退所加算(III),退院Ⅲ,legacy_detection_only,438305,退院・退所加算(III),900,code_mismatch,match_type=code_mismatch / official_code=436146 / internal_code=438305 / official_unit=900 / internal_unit=900,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「退院・退所加算(III)」: 公式コード 436146 に対し社内コード 438305 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,tsuuin_jouhou_renkei,通院時情報連携加算,needs_review,needs_master_review,436135,通院時情報連携加算,50,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438400,通院時情報連携加算,通院連携,legacy_detection_only,438400,通院時情報連携加算,50,code_mismatch,match_type=code_mismatch / official_code=436135 / internal_code=438400 / official_unit=50 / internal_unit=50,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「通院時情報連携加算」: 公式コード 436135 に対し社内コード 438400 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,kinkyu_kyotaku_conference,緊急時等居宅カンファレンス加算,needs_review,needs_master_review,436133,緊急時等居宅カンファレンス加算,200,回/カンファ1回につき,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438500,緊急時等居宅カンファレンス加算,緊急カンファ,legacy_detection_only,438500,緊急時等居宅カンファレンス加算,200,code_mismatch,match_type=code_mismatch / official_code=436133 / internal_code=438500 / official_unit=200 / internal_unit=200,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「緊急時等居宅カンファレンス加算」: 公式コード 436133 に対し社内コード 438500 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,terminal_care_management,ターミナルケアマネジメント加算,needs_review,needs_master_review,436100,ターミナルケアマネジメント加算,400,回/利用者死亡日,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438600,ターミナルケアマネジメント加算,ターミナル,legacy_detection_only,438600,ターミナルケアマネジメント加算,400,code_mismatch,match_type=code_mismatch / official_code=436100 / internal_code=438600 / official_unit=400 / internal_unit=400,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「ターミナルケアマネジメント加算」: 公式コード 436100 に対し社内コード 438600 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,shokai_kasan,初回加算,needs_review,needs_master_review,434001,初回加算,300,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438700,初回加算,初回,legacy_detection_only,438700,初回加算,300,code_mismatch,match_type=code_mismatch / official_code=434001 / internal_code=438700 / official_unit=300 / internal_unit=300,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「初回加算」: 公式コード 434001 に対し社内コード 438700 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,
kyotaku_shien,tokutei_jigyousho_iryou_kaigo,特定事業所医療介護連携加算,needs_review,needs_master_review,434005,特定事業所医療介護連携加算,125,月/利用者,WAM_R7_4_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332,438800,特定事業所医療介護連携加算,医療介護連携,legacy_detection_only,438800,特定事業所医療介護連携加算,125,code_mismatch,match_type=code_mismatch / official_code=434005 / internal_code=438800 / official_unit=125 / internal_unit=125,社内legacyコードでPDF検出は機能しているが、公式コードとの対応関係が未確定 / 帳票検出は legacy_code 経路のみ,加算「特定事業所医療介護連携加算」: 公式コード 434005 に対し社内コード 438800 が稼働中（match_type=code_mismatch）。 社内マスタを公式コードに訂正するか、社内コードを公式コードのaliasとして登録するか、 それとも legacy_detection_only のまま運用継続か、業務担当・開発担当で確認してください。,candidate: correct_internal_legacy_code OR add_receipt_alias (reviewer判断),,,,

# alpha.5.9 master review packet generated at 2026-05-10
# base_commit: 2f5245e9b2cba759e1aec7d0c47e6041ae512e81
# reviewer_decision values: approve_official_code_addition | keep_legacy_detection_only | add_receipt_alias | correct_internal_legacy_code | mark_structural_mismatch | keep_pattern_based_unverified | escalate_legal_review | defer_until_r8_definitive
# 本packet では master JSON を改変しない。reviewer 判断後の実装変更は alpha.5.10+ で別途実施。
